play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens,sentiment_score
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"Having thee ever to attend on me,",,,,"['ever', 'attend']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,"To give me whatsoever I shall ask,",,,,"['give', 'whatsoever', 'shall', 'ask']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"To tell me whatsoever I demand,",,,,"['tell', 'whatsoever', 'demand']",-0.128
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,"To slay mine enemies, and aid my friends,",,,,"['slay', 'enemies', 'aid', 'friends']",-0.0258
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,15,And always be obedient to my will.,,,,"['always', 'obedient']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,16,"Go and return to mighty Lucifer,",,,,"['Go', 'return', 'mighty', 'Lucifer']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,17,"And meet me in my study at midnight,",,,,"['meet', 'study', 'midnight']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,18,And then resolve me of thy master?s mind.,,,,"['resolve', 'master', '\x99s', 'mind']",0.3818
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"I will, Faustus.",,,,['Faustus'],0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Had I as many souls as there be stars,",,,,"['many', 'souls', 'stars']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,I?d give them all for Mephistophilis.,,,,"['\x99d', 'give', 'Mephistophilis']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"By him I?ll be great emperor of the world,",,,,"['\x99ll', 'great', 'emperor', 'world']",0.6249
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"And make a bridge thorough the moving air,",,,,"['make', 'bridge', 'thorough', 'moving', 'air']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,To pass the ocean with a band of men;,,,,"['pass', 'ocean', 'band', 'men']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"I?ll join the hills that bind the Afric shore,",,,,"['\x99ll', 'join', 'hills', 'bind', 'Afric', 'shore']",0.296
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"And make that country continent to Spain,",,,,"['make', 'country', 'continent', 'Spain']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,And both contributory to my crown:,,,,"['contributory', 'crown']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,"The Emperor shall not live but by my leave,",,,,"['Emperor', 'shall', 'live', 'leave']",-0.0772
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,Nor any potentate of Germany.,,,,"['potentate', 'Germany']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"Now that I have obtain?d what I desir?d,",,,,"['obtain', '\x99d', 'desir', '\x99d']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,"I?ll live in speculation of this art,",,,,"['\x99ll', 'live', 'speculation']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,Till Mephistophilis return again.,,,,"['Till', 'Mephistophilis', 'return']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Sirrah boy, come hither.",,,,"['Sirrah', 'boy', 'come', 'hither']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"How, boy! swowns, boy!  I hope you have seen many boys",,,,"['boy', 'swowns', 'boy', 'hope', 'seen', 'many', 'boys']",0.5399
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"with such pickadevaunts as I have:  boy, quotha!",,,,"['pickadevaunts', 'boy', 'quotha']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Tell me, sirrah, hast thou any comings in?",,,,"['Tell', 'sirrah', 'comings']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Ay, and goings out too; you may see else.",,,,"['Ay', 'goings', 'may', 'see', 'else']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Alas, poor slave! see how poverty jesteth in his nakedness!",,,,"['poor', 'slave', 'see', 'poverty', 'jesteth', 'nakedness']",-0.8436
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,"the villain is bare and out of service, and so hungry, that I know",,,,"['villain', 'bare', 'service', 'hungry', 'know']",-0.5574
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,3,"he would give his soul to the devil for a shoulder of mutton,",,,,"['would', 'give', 'soul', 'devil', 'shoulder', 'mutton']",-0.6597
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,4,though it were blood-raw.,,,,"['though', 'blood-raw']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"How! my soul to the devil for a shoulder of mutton, though",,,,"['soul', 'devil', 'shoulder', 'mutton', 'though']",-0.69
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"?twere blood-raw! not so, good friend:  by?r lady, I had need",,,,"['\x99twere', 'blood-raw', 'good', 'friend', '\x99r', 'lady', 'need']",-0.6894
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"have it well roasted, and good sauce to it, if I pay so dear.",,,,"['well', 'roasted', 'good', 'sauce', 'pay', 'dear']",0.7886
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, wilt thou serve me, and I?ll make thee go like",,,,"['Well', 'wilt', 'serve', '\x99ll', 'make', 'go', 'like']",0.5574
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,Qui mihi discipulus?,,,,"['Qui', 'mihi', 'discipulus']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"How, in verse?",,,,['verse'],0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"No, sirrah; in beaten silk and staves-acre.",,,,"['sirrah', 'beaten', 'silk', 'staves-acre']",-0.4215
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"How, how, knaves-acre! ay, I thought that was all the land",,,,"['knaves-acre', 'ay', 'thought', 'land']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,his father left him.  Do you hear?  I would be sorry to rob you of,,,,"['father', 'left', 'hear', 'would', 'sorry', 'rob']",-0.5994
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,your living.,,,,['living'],0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Sirrah, I say in staves-acre.",,,,"['Sirrah', 'say', 'staves-acre']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Oho, oho, staves-acre! why, then, belike, if I were your",,,,"['Oho', 'oho', 'staves-acre', 'belike']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"man, I should be full of vermin.",,,,"['man', 'full', 'vermin']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"So thou shalt, whether thou beest with me or no.  But,",,,,"['shalt', 'whether', 'beest']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,"sirrah, leave your jesting, and bind yourself presently unto me",,,,"['sirrah', 'leave', 'jesting', 'bind', 'presently', 'unto']",-0.0516
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,3,"for seven years, or I?ll turn all the lice about thee into",,,,"['seven', 'years', '\x99ll', 'turn', 'lice']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,4,"familiars, and they shall tear thee in pieces.",,,,"['familiars', 'shall', 'tear', 'pieces']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Do you hear, sir? you may save that labour; they are too",,,,"['hear', 'sir', 'may', 'save', 'labour']",0.4939
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"familiar with me already:  swowns, they are as bold with my flesh",,,,"['familiar', 'already', 'swowns', 'bold', 'flesh']",0.3818
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,as if they had paid for their meat and drink.,,,,"['paid', 'meat', 'drink']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, do you hear, sirrah? hold, take these guilders.",,,,"['Well', 'hear', 'sirrah', 'hold', 'take', 'guilders']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,Gridirons! what be they?,,,,['Gridirons'],0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Why, French crowns.",,,,"['French', 'crowns']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Mass, but for the name of French crowns, a man were as good",,,,"['Mass', 'name', 'French', 'crowns', 'man', 'good']",0.5927
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,have as many English counters.  And what should I do with these?,,,,"['many', 'English', 'counters']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Why, now, sirrah, thou art at an hour?s warning, whensoever",,,,"['sirrah', 'hour', '\x99s', 'warning', 'whensoever']",-0.34
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,or wheresoever the devil shall fetch thee.,,,,"['wheresoever', 'devil', 'shall', 'fetch']",-0.6597
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"No, no; here, take your gridirons again.",,,,"['take', 'gridirons']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Truly, I?ll none of them.",,,,"['Truly', '\x99ll', 'none']",0.4404
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Truly, but you shall.",,,,"['Truly', 'shall']",0.2382
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,Bear witness I gave them him.,,,,"['Bear', 'witness', 'gave']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,Bear witness I give them you again.,,,,"['Bear', 'witness', 'give']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, I will cause two devils presently to fetch thee",,,,"['Well', 'cause', 'two', 'devils', 'presently', 'fetch']",-0.3818
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,away.?Baliol and Belcher!,,,,"['away', '\x94Baliol', 'Belcher']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Let your Baliol and your Belcher come here, and I?ll",,,,"['Let', 'Baliol', 'Belcher', 'come', '\x99ll']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"knock them, they were never so knocked since they were devils:",,,,"['knock', 'never', 'knocked', 'since', 'devils']",-0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"say I should kill one of them, what would folks say?  ?Do ye see",,,,"['say', 'kill', 'one', 'would', 'folks', 'say', '\x9cDo', 'see']",-0.7236
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,4,yonder tall fellow in the round slop? he has killed the devil.??,,,,"['yonder', 'tall', 'fellow', 'round', 'slop', 'killed', 'devil.']",-0.887
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,5,So I should be called Kill-devil all the parish over.,,,,"['called', 'Kill-devil', 'parish']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Baliol and Belcher,?spirits, away!",,,,"['Baliol', 'Belcher', '\x94spirits', 'away']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"What, are they gone? a vengeance on them! they have vile",,,,"['gone', 'vengeance', 'vile']",-0.6588
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,long nails.  There was a he-devil and a she-devil:  I?ll tell you,,,,"['long', 'nails', 'he-devil', 'she-devil', '\x99ll', 'tell']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"how you shall know them; all he-devils has horns, and all",,,,"['shall', 'know', 'he-devils', 'horns']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,4,she-devils has clifts and cloven feet.,,,,"['she-devils', 'clifts', 'cloven', 'feet']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, sirrah, follow me.",,,,"['Well', 'sirrah', 'follow']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"But, do you hear? if I should serve you, would you teach",,,,"['hear', 'serve', 'would', 'teach']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,me to raise up Banios and Belcheos?,,,,"['raise', 'Banios', 'Belcheos']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"I will teach thee to turn thyself to any thing, to a dog,",,,,"['teach', 'turn', 'thyself', 'thing', 'dog']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,"or a cat, or a mouse, or a rat, or any thing.",,,,"['cat', 'mouse', 'rat', 'thing']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"How! a Christian fellow to a dog, or a cat, a mouse,",,,,"['Christian', 'fellow', 'dog', 'cat', 'mouse']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"or a rat! no, no, sir; if you turn me into any thing, let it be",,,,"['rat', 'sir', 'turn', 'thing', 'let']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"in the likeness of a little pretty frisking flea, that I may be",,,,"['likeness', 'little', 'pretty', 'frisking', 'flea', 'may']",0.4417
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,4,"here and there and every where:  O, I?ll tickle the pretty wenches??
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,5,plackets!  I?ll be amongst them"," i?faith.""",,,"['every', '\x99ll', 'tickle', 'pretty', 'wenches', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'none,5', 'plackets', '\x99ll', 'amongst']",-0.8083
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, sirrah, come.",,,,"['Well', 'sirrah', 'come']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"But, do you hear, Wagner?",,,,"['hear', 'Wagner']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,How!?Baliol and Belcher!,,,,"['\x94Baliol', 'Belcher']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"O Lord!  I pray, sir, let Banio and Belcher go sleep.",,,,"['Lord', 'pray', 'sir', 'let', 'Banio', 'Belcher', 'go', 'sleep']",0.3802
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Villain, call me Master Wagner, and let thy left eye be",,,,"['Villain', 'call', 'Master', 'Wagner', 'let', 'left', 'eye']",-0.5574
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,"diametarily fixed upon my right heel, with quasi vestigiis",,,,"['diametarily', 'fixed', 'upon', 'right', 'heel', 'quasi', 'vestigiis']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,3,nostris insistere.,,,,"['nostris', 'insistere']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"God forgive me, he speaks Dutch fustian.  Well, I?ll follow",,,,"['God', 'forgive', 'speaks', 'Dutch', 'fustian', 'Well', '\x99ll', 'follow']",0.6486
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"him; I?ll serve him, that?s flat.",,,,"['\x99ll', 'serve', '\x99s', 'flat']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Now, Faustus, must",,,,"['Faustus', 'must']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Thou needs be damn?d, and canst thou not be sav?d:",,,,"['needs', 'damn', '\x99d', 'canst', 'sav', '\x99d']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"What boots it, then, to think of God or heaven?",,,,"['boots', 'think', 'God', 'heaven']",0.6597
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"Away with such vain fancies, and despair;",,,,"['Away', 'vain', 'fancies', 'despair']",-0.6249
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"Despair in God, and trust in Belzebub:",,,,"['Despair', 'God', 'trust', 'Belzebub']",0.4767
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Now go not backward; no, Faustus, be resolute:",,,,"['go', 'backward', 'Faustus', 'resolute']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"Why waver?st thou?  O, something soundeth in mine ears,",,,,"['waver', '\x99st', 'something', 'soundeth', 'ears']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"?Abjure this magic, turn to God again!??
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,9,Ay"," and Faustus will turn to God again.""",,,"['\x9cAbjure', 'magic', 'turn', 'God', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'none,9', 'Ay']",-0.8401
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,To God? he loves thee not;,,,,"['God', 'loves']",0.7003
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"The god thou serv?st is thine own appetite,",,,,"['god', 'serv', '\x99st', 'appetite']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,Wherein is fix?d the love of Belzebub:,,,,"['Wherein', 'fix', '\x99d', 'love', 'Belzebub']",0.6369
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"To him I?ll build an altar and a church,",,,,"['\x99ll', 'build', 'altar', 'church']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,And offer lukewarm blood of new-born babes.,,,,"['offer', 'lukewarm', 'blood', 'new-born', 'babes']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"Sweet Faustus, leave that execrable art.",,,,"['Sweet', 'Faustus', 'leave', 'execrable']",0.4215
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Contrition, prayer, repentance?what of them?",,,,"['Contrition', 'prayer', 'repentance', '\x94what']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"O, they are means to bring thee unto heaven!",,,,"['means', 'bring', 'unto', 'heaven']",0.5562
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,1,"Rather illusions, fruits of lunacy,",,,,"['Rather', 'illusions', 'fruits', 'lunacy']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,2,That make men foolish that do trust them most.,,,,"['make', 'men', 'foolish', 'trust']",0.296
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"Sweet Faustus, think of heaven and heavenly things.",,,,"['Sweet', 'Faustus', 'think', 'heaven', 'heavenly', 'things']",0.8834
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,1,"No, Faustus; think of honour and of wealth.",,,,"['Faustus', 'think', 'honour', 'wealth']",0.7845
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Of wealth!,,,,['wealth'],0.5411
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Why, the signiory of Embden shall be mine.",,,,"['signiory', 'Embden', 'shall']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"When Mephistophilis shall stand by me,",,,,"['Mephistophilis', 'shall', 'stand']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"What god can hurt thee, Faustus? thou art safe",,,,"['god', 'hurt', 'Faustus', 'safe']",0.1531
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"Cast no more doubts.?Come, Mephistophilis,",,,,"['Cast', 'doubts', '\x94Come', 'Mephistophilis']",-0.296
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,And bring glad tidings from great Lucifer;,,,,"['bring', 'glad', 'tidings', 'great', 'Lucifer']",0.7964
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"Is?t not midnight??come, Mephistophilis,",,,,"['\x99t', 'midnight', '\x94come', 'Mephistophilis']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"Veni, veni, Mephistophile!",,,,"['Veni', 'veni', 'Mephistophile']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,"Now tell me what says Lucifer, thy lord?",,,,"['tell', 'says', 'Lucifer', 'lord']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"That I shall wait on Faustus whilst he lives,",,,,"['shall', 'wait', 'Faustus', 'whilst', 'lives']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,So he will buy my service with his soul.,,,,"['buy', 'service', 'soul']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Already Faustus hath hazarded that for thee.,,,,"['Already', 'Faustus', 'hazarded']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"But, Faustus, thou must bequeath it solemnly,",,,,"['Faustus', 'must', 'bequeath', 'solemnly']",0.296
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,And write a deed of gift with thine own blood;,,,,"['write', 'deed', 'gift', 'blood']",0.4404
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,For that security craves great Lucifer.,,,,"['security', 'craves', 'great', 'Lucifer']",0.7579
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,"If thou deny it, I will back to hell.",,,,"['deny', 'back', 'hell']",-0.7906
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Stay, Mephistophilis, and tell me, what good will my soul",,,,"['Stay', 'Mephistophilis', 'tell', 'good', 'soul']",0.4404
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,do thy lord?,,,,['lord'],0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,Enlarge his kingdom.,,,,"['Enlarge', 'kingdom']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Is that the reason why he tempts us thus?,,,,"['reason', 'tempts', 'thus']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,Solamen miseris socios habuisse doloris.,,,,"['Solamen', 'miseris', 'socios', 'habuisse', 'doloris']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Why, have you any pain that torture others!",,,,"['pain', 'torture', 'others']",-0.8172
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,As great as have the human souls of men.,,,,"['great', 'human', 'souls', 'men']",0.6249
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,"But, tell me, Faustus, shall I have thy soul?",,,,"['tell', 'Faustus', 'shall', 'soul']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,"And I will be thy slave, and wait on thee,",,,,"['slave', 'wait']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,And give thee more than thou hast wit to ask.,,,,"['give', 'wit', 'ask']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Ay, Mephistophilis, I give it thee.",,,,"['Ay', 'Mephistophilis', 'give']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Then, Faustus, stab thine arm courageously,",,,,"['Faustus', 'stab', 'arm', 'courageously']",-0.128
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,"And bind thy soul, that at some certain day",,,,"['bind', 'soul', 'certain', 'day']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,Great Lucifer may claim it as his own;,,,,"['Great', 'Lucifer', 'may', 'claim']",0.6249
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,And then be thou as great as Lucifer.,,,,"['great', 'Lucifer']",0.6249
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Lo, Mephistophilis, for love of thee,",,,,"['Lo', 'Mephistophilis', 'love']",0.6369
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"I cut mine arm, and with my proper blood",,,,"['cut', 'arm', 'proper', 'blood']",-0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Assure my soul to be great Lucifer?s,",,,,"['Assure', 'soul', 'great', 'Lucifer', '\x99s']",0.7579
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,Chief lord and regent of perpetual night!,,,,"['Chief', 'lord', 'regent', 'perpetual', 'night']",0.0
